Lead_ID,Lead_Score,Priority_Bucket,Conversion_Probability
936,17.42,Cold,0.1742
937,35.82,Cold,0.3582
938,38.2,Cold,0.382
939,43.99,Warm,0.4399
940,17.58,Cold,0.1758
941,10.87,Cold,0.1087
942,70.38,Hot,0.7038
943,16.16,Cold,0.1616
944,70.08,Hot,0.7008
945,54.65,Warm,0.5465
946,10.63,Cold,0.1063
947,25.03,Cold,0.2503
948,64.66,Warm,0.6466
949,16.15,Cold,0.1615
950,70.01,Hot,0.7001
951,9.98,Cold,0.0998
952,41.49,Warm,0.4149
953,31.93,Cold,0.3193
954,96.8,Hot,0.968
955,48.63,Warm,0.4863
956,75.25,Hot,0.7525
957,71.29,Hot,0.7129
958,39.23,Cold,0.3923
959,70.17,Hot,0.7017
960,7.94,Cold,0.0794
961,86.41,Hot,0.8641
962,93.42,Hot,0.9342
963,23.1,Cold,0.231
964,40.67,Warm,0.4067
965,62.15,Warm,0.6215
966,16.17,Cold,0.1617
967,20.66,Cold,0.2066
968,65.76,Warm,0.6576
969,40.72,Warm,0.4072
970,83.27,Hot,0.8327
971,71.93,Hot,0.7193
972,4.82,Cold,0.0482
973,14.68,Cold,0.1468
974,93.1,Hot,0.931
975,2.91,Cold,0.0291
976,62.3,Warm,0.623
977,74.13,Hot,0.7413
978,16.31,Cold,0.1631
979,14.04,Cold,0.1404
980,39.97,Cold,0.3997
981,13.28,Cold,0.1328
982,74.53,Hot,0.7453
983,78.0,Hot,0.78
984,85.33,Hot,0.8533
985,21.03,Cold,0.2103
986,24.54,Cold,0.2454
987,74.6,Hot,0.746
988,18.28,Cold,0.1828
989,77.58,Hot,0.7758
990,3.63,Cold,0.0363
991,71.29,Hot,0.7129
992,10.0,Cold,0.1
993,68.6,Warm,0.686
994,18.08,Cold,0.1808
995,87.8,Hot,0.878
996,56.34,Warm,0.5634
997,17.7,Cold,0.177
998,64.88,Warm,0.6488
999,4.69,Cold,0.0469
1000,40.13,Warm,0.4013
1001,17.14,Cold,0.1714
1002,18.62,Cold,0.1862
1003,57.47,Warm,0.5747
1004,76.47,Hot,0.7647
1005,33.97,Cold,0.3397
1006,15.45,Cold,0.1545
1007,83.65,Hot,0.8365
1008,21.25,Cold,0.2125
1009,23.03,Cold,0.2303
1010,94.18,Hot,0.9418
1011,74.92,Hot,0.7492
1012,36.25,Cold,0.3625
1013,71.27,Hot,0.7127
1014,16.39,Cold,0.1639
1015,83.47,Hot,0.8347
1016,46.11,Warm,0.4611
1017,41.94,Warm,0.4194
1018,78.98,Hot,0.7898
1019,30.97,Cold,0.3097
1020,14.51,Cold,0.1451
1021,76.56,Hot,0.7656
1022,41.97,Warm,0.4197
1023,60.68,Warm,0.6068
1024,21.31,Cold,0.2131
1025,61.43,Warm,0.6143
1026,70.55,Hot,0.7055
1027,51.36,Warm,0.5136
1028,14.02,Cold,0.1402
1029,20.02,Cold,0.2002
1030,87.97,Hot,0.8797
1031,94.08,Hot,0.9408
1032,80.88,Hot,0.8088
1033,39.09,Cold,0.3909
1034,11.78,Cold,0.1178
1035,17.68,Cold,0.1768
1036,75.25,Hot,0.7525
1037,98.98,Hot,0.9898
1038,74.86,Hot,0.7486
1039,19.17,Cold,0.1917
1040,92.42,Hot,0.9242
1041,85.33,Hot,0.8533
1042,35.6,Cold,0.356
1043,72.38,Hot,0.7238
1044,20.89,Cold,0.2089
1045,18.25,Cold,0.1825
1046,35.86,Cold,0.3586
1047,68.0,Warm,0.68
1048,56.07,Warm,0.5607
1049,35.7,Cold,0.357
1050,17.57,Cold,0.1757
1051,73.31,Hot,0.7331
1052,12.07,Cold,0.1207
1053,79.44,Hot,0.7944
1054,95.31,Hot,0.9531
1055,69.5,Warm,0.695
1056,80.41,Hot,0.8041
1057,89.78,Hot,0.8978
1058,20.66,Cold,0.2066
1059,44.38,Warm,0.4438
1060,31.43,Cold,0.3143
1061,83.64,Hot,0.8364
1062,19.74,Cold,0.1974
1063,69.86,Warm,0.6986
1064,34.2,Cold,0.342
1065,76.87,Hot,0.7687
1066,10.27,Cold,0.1027
1067,21.63,Cold,0.2163
1068,34.17,Cold,0.3417
1069,73.57,Hot,0.7357
1070,14.24,Cold,0.1424
1071,16.92,Cold,0.1692
1072,10.43,Cold,0.1043
1073,77.28,Hot,0.7728
1074,78.67,Hot,0.7867
1075,80.2,Hot,0.802
1076,12.68,Cold,0.1268
1077,19.37,Cold,0.1937
1078,18.49,Cold,0.1849
1079,65.88,Warm,0.6588
1080,14.96,Cold,0.1496
1081,68.53,Warm,0.6853
1082,64.99,Warm,0.6499
1083,83.18,Hot,0.8318
1084,9.28,Cold,0.0928
1085,78.56,Hot,0.7856
1086,20.36,Cold,0.2036
1087,85.33,Hot,0.8533
1088,20.89,Cold,0.2089
1089,74.68,Hot,0.7468
1090,31.44,Cold,0.3144
1091,30.56,Cold,0.3056
1092,16.57,Cold,0.1657
1093,8.25,Cold,0.0825
1094,90.25,Hot,0.9025
1095,84.43,Hot,0.8443
1096,79.73,Hot,0.7973
1097,8.96,Cold,0.0896
1098,18.62,Cold,0.1862
1099,61.95,Warm,0.6195
1100,17.25,Cold,0.1725
1101,18.35,Cold,0.1835
1102,16.17,Cold,0.1617
1103,80.26,Hot,0.8026
1104,8.49,Cold,0.0849
1105,21.5,Cold,0.215
1106,36.07,Cold,0.3607
1107,57.82,Warm,0.5782
1108,21.5,Cold,0.215
1109,75.95,Hot,0.7595
1110,19.48,Cold,0.1948
1111,12.7,Cold,0.127
1112,17.07,Cold,0.1707
1113,10.56,Cold,0.1056
1114,81.12,Hot,0.8112
1115,15.37,Cold,0.1537
1116,58.08,Warm,0.5808
1117,54.0,Warm,0.54
1118,14.28,Cold,0.1428
1119,70.24,Hot,0.7024
1120,31.47,Cold,0.3147
1121,18.19,Cold,0.1819
1122,82.76,Hot,0.8276
1123,46.16,Warm,0.4616
1124,26.16,Cold,0.2616
1125,70.67,Hot,0.7067
1126,95.06,Hot,0.9506
1127,15.4,Cold,0.154
1128,25.56,Cold,0.2556
1129,71.27,Hot,0.7127
1130,3.82,Cold,0.0382
1131,66.33,Warm,0.6633
1132,4.3,Cold,0.043
1133,78.96,Hot,0.7896
1134,11.67,Cold,0.1167
1135,59.63,Warm,0.5963
1136,17.11,Cold,0.1711
1137,18.22,Cold,0.1822
1138,79.67,Hot,0.7967
1139,26.99,Cold,0.2699
1140,21.53,Cold,0.2153
1141,28.15,Cold,0.2815
1142,96.35,Hot,0.9635
1143,70.58,Hot,0.7058
1144,5.9,Cold,0.059
1145,30.97,Cold,0.3097
1146,77.87,Hot,0.7787
1147,17.39,Cold,0.1739
1148,13.5,Cold,0.135
1149,82.33,Hot,0.8233
1150,9.22,Cold,0.0922
1151,31.22,Cold,0.3122
1152,79.73,Hot,0.7973
1153,41.31,Warm,0.4131
1154,85.81,Hot,0.8581
1155,74.93,Hot,0.7493
1156,84.12,Hot,0.8412
1157,41.74,Warm,0.4174
1158,18.28,Cold,0.1828
1159,64.49,Warm,0.6449
1160,5.79,Cold,0.0579
1161,25.04,Cold,0.2504
1162,16.45,Cold,0.1645
1163,21.47,Cold,0.2147
1164,43.99,Warm,0.4399
1165,96.08,Hot,0.9608
1166,14.21,Cold,0.1421
1167,6.44,Cold,0.0644
1168,7.13,Cold,0.0713
1169,80.12,Hot,0.8012
1170,65.76,Warm,0.6576
1171,17.58,Cold,0.1758
1172,6.78,Cold,0.0678
1173,71.95,Hot,0.7195
1174,12.57,Cold,0.1257
1175,69.86,Warm,0.6986
1176,19.79,Cold,0.1979
1177,11.53,Cold,0.1153
1178,3.06,Cold,0.0306
1179,14.65,Cold,0.1465
1180,16.39,Cold,0.1639
1181,9.67,Cold,0.0967
1182,72.82,Hot,0.7282
1183,69.43,Warm,0.6943
1184,69.15,Warm,0.6915
1185,69.2,Warm,0.692
1186,10.25,Cold,0.1025
1187,73.7,Hot,0.737
1188,74.39,Hot,0.7439
1189,72.26,Hot,0.7226
1190,69.86,Warm,0.6986
1191,14.2,Cold,0.142
1192,66.66,Warm,0.6666
1193,36.29,Cold,0.3629
1194,14.76,Cold,0.1476
1195,72.63,Hot,0.7263
1196,84.67,Hot,0.8467
1197,17.14,Cold,0.1714
1198,15.16,Cold,0.1516
1199,16.73,Cold,0.1673
1200,59.08,Warm,0.5908
1201,71.73,Hot,0.7173
1202,43.94,Warm,0.4394
1203,86.65,Hot,0.8665
1204,80.93,Hot,0.8093
1205,16.98,Cold,0.1698
1206,33.69,Cold,0.3369
1207,96.57,Hot,0.9657
1208,16.73,Cold,0.1673
1209,5.94,Cold,0.0594
1210,19.04,Cold,0.1904
1211,3.71,Cold,0.0371
1212,11.38,Cold,0.1138
1213,43.82,Warm,0.4382
1214,18.11,Cold,0.1811
1215,43.48,Warm,0.4348
1216,18.26,Cold,0.1826
1217,3.63,Cold,0.0363
1218,9.25,Cold,0.0925
1219,84.67,Hot,0.8467
1220,22.31,Cold,0.2231
1221,80.52,Hot,0.8052
1222,36.24,Cold,0.3624
1223,6.25,Cold,0.0625
1224,9.25,Cold,0.0925
1225,3.6,Cold,0.036
1226,15.98,Cold,0.1598
1227,97.27,Hot,0.9727
1228,23.94,Cold,0.2394
1229,24.69,Cold,0.2469
1230,10.49,Cold,0.1049
1231,33.29,Cold,0.3329
1232,14.43,Cold,0.1443
1233,96.08,Hot,0.9608
1234,99.0,Hot,0.99
1235,80.43,Hot,0.8043
1236,77.84,Hot,0.7784
1237,40.22,Warm,0.4022
1238,18.67,Cold,0.1867
1239,88.44,Hot,0.8844
1240,35.48,Cold,0.3548
1241,18.36,Cold,0.1836
1242,85.52,Hot,0.8552
1243,16.01,Cold,0.1601
1244,14.35,Cold,0.1435
1245,22.94,Cold,0.2294
1246,30.35,Cold,0.3035
1247,36.88,Cold,0.3688
1248,36.13,Cold,0.3613
1249,34.28,Cold,0.3428
1250,79.44,Hot,0.7944
1251,38.08,Cold,0.3808
1252,74.13,Hot,0.7413
1253,55.31,Warm,0.5531
1254,84.89,Hot,0.8489
1255,14.72,Cold,0.1472
1256,16.31,Cold,0.1631
1257,7.88,Cold,0.0788
1258,74.57,Hot,0.7457
1259,16.53,Cold,0.1653
1260,83.27,Hot,0.8327
1261,88.76,Hot,0.8876
1262,81.76,Hot,0.8176
1263,37.23,Cold,0.3723
1264,14.76,Cold,0.1476
1265,25.91,Cold,0.2591
1266,66.33,Warm,0.6633
1267,86.52,Hot,0.8652
1268,17.07,Cold,0.1707
1269,16.09,Cold,0.1609
1270,13.51,Cold,0.1351
1271,10.72,Cold,0.1072
1272,81.97,Hot,0.8197
1273,7.17,Cold,0.0717
1274,43.99,Warm,0.4399
1275,91.41,Hot,0.9141
1276,10.41,Cold,0.1041
1277,18.36,Cold,0.1836
1278,5.72,Cold,0.0572
1279,79.96,Hot,0.7996
1280,24.64,Cold,0.2464
1281,18.1,Cold,0.181
1282,68.83,Warm,0.6883
1283,16.49,Cold,0.1649
1284,79.6,Hot,0.796
1285,33.85,Cold,0.3385
1286,18.28,Cold,0.1828
1287,41.46,Warm,0.4146
1288,91.22,Hot,0.9122
1289,82.74,Hot,0.8274
1290,42.71,Warm,0.4271
1291,72.83,Hot,0.7283
1292,13.69,Cold,0.1369
1293,16.31,Cold,0.1631
1294,85.43,Hot,0.8543
1295,55.68,Warm,0.5568
1296,12.75,Cold,0.1275
1297,49.91,Warm,0.4991
1298,14.97,Cold,0.1497
1299,64.88,Warm,0.6488
1300,12.54,Cold,0.1254
1301,83.51,Hot,0.8351
1302,17.22,Cold,0.1722
1303,71.73,Hot,0.7173
1304,38.32,Cold,0.3832
1305,95.65,Hot,0.9565
1306,14.82,Cold,0.1482
1307,86.62,Hot,0.8662
1308,6.99,Cold,0.0699
1309,72.49,Hot,0.7249
1310,58.46,Warm,0.5846
1311,35.12,Cold,0.3512
1312,23.99,Cold,0.2399
1313,23.15,Cold,0.2315
1314,79.63,Hot,0.7963
1315,31.01,Cold,0.3101
1316,31.69,Cold,0.3169
1317,82.17,Hot,0.8217
1318,67.67,Warm,0.6767
1319,11.18,Cold,0.1118
1320,58.72,Warm,0.5872
1321,27.34,Cold,0.2734
1322,72.2,Hot,0.722
1323,38.57,Cold,0.3857
1324,16.37,Cold,0.1637
1325,60.07,Warm,0.6007
1326,57.99,Warm,0.5799
1327,30.28,Cold,0.3028
1328,83.16,Hot,0.8316
1329,13.34,Cold,0.1334
1330,14.72,Cold,0.1472
1331,66.33,Warm,0.6633
1332,9.61,Cold,0.0961
1333,46.53,Warm,0.4653
1334,59.21,Warm,0.5921
1335,41.87,Warm,0.4187
1336,72.12,Hot,0.7212
1337,13.92,Cold,0.1392
1338,18.1,Cold,0.181
1339,19.92,Cold,0.1992
1340,59.74,Warm,0.5974
1341,12.28,Cold,0.1228
1342,78.47,Hot,0.7847
1343,17.3,Cold,0.173
1344,86.52,Hot,0.8652
1345,31.55,Cold,0.3155
1346,62.06,Warm,0.6206
1347,24.09,Cold,0.2409
1348,69.21,Warm,0.6921
1349,7.64,Cold,0.0764
1350,13.55,Cold,0.1355
1351,86.59,Hot,0.8659
1352,96.99,Hot,0.9699
1353,12.36,Cold,0.1236
1354,57.09,Warm,0.5709
1355,82.17,Hot,0.8217
1356,60.02,Warm,0.6002
1357,13.28,Cold,0.1328
1358,19.07,Cold,0.1907
1359,96.35,Hot,0.9635
1360,44.08,Warm,0.4408
1361,73.91,Hot,0.7391
1362,74.68,Hot,0.7468
1363,33.65,Cold,0.3365
1364,78.19,Hot,0.7819
1365,13.28,Cold,0.1328
1366,73.99,Hot,0.7399
1367,68.53,Warm,0.6853
1368,96.27,Hot,0.9627
1369,70.61,Hot,0.7061
1370,4.89,Cold,0.0489
1371,17.56,Cold,0.1756
1372,75.17,Hot,0.7517
1373,66.51,Warm,0.6651
1374,18.25,Cold,0.1825
1375,62.65,Warm,0.6265
1376,84.29,Hot,0.8429
1377,14.8,Cold,0.148
1378,52.63,Warm,0.5263
1379,75.69,Hot,0.7569
1380,5.47,Cold,0.0547
1381,30.58,Cold,0.3058
1382,25.68,Cold,0.2568
1383,10.89,Cold,0.1089
1384,81.26,Hot,0.8126
1385,77.23,Hot,0.7723
1386,11.33,Cold,0.1133
1387,38.19,Cold,0.3819
1388,76.22,Hot,0.7622
1389,18.1,Cold,0.181
1390,18.49,Cold,0.1849
1391,34.17,Cold,0.3417
1392,65.84,Warm,0.6584
1393,10.41,Cold,0.1041
1394,70.01,Hot,0.7001
1395,70.38,Hot,0.7038
1396,18.32,Cold,0.1832
1397,14.51,Cold,0.1451
1398,79.94,Hot,0.7994
1399,85.87,Hot,0.8587
1400,75.63,Hot,0.7563
1401,85.81,Hot,0.8581
1402,64.67,Warm,0.6467
1403,51.2,Warm,0.512
1404,57.03,Warm,0.5703
1405,24.74,Cold,0.2474
1406,17.58,Cold,0.1758
1407,21.15,Cold,0.2115
1408,79.57,Hot,0.7957
1409,29.65,Cold,0.2965
1410,75.17,Hot,0.7517
1411,70.82,Hot,0.7082
1412,17.39,Cold,0.1739
1413,34.13,Cold,0.3413
1414,74.68,Hot,0.7468
1415,19.37,Cold,0.1937
1416,6.44,Cold,0.0644
1417,77.88,Hot,0.7788
1418,69.4,Warm,0.694
1419,7.5,Cold,0.075
1420,91.83,Hot,0.9183
1421,43.41,Warm,0.4341
1422,17.44,Cold,0.1744
1423,15.08,Cold,0.1508
1424,8.51,Cold,0.0851
1425,9.8,Cold,0.098
1426,76.19,Hot,0.7619
1427,77.48,Hot,0.7748
1428,72.82,Hot,0.7282
1429,34.92,Cold,0.3492
1430,16.15,Cold,0.1615
1431,9.33,Cold,0.0933
1432,66.72,Warm,0.6672
1433,9.49,Cold,0.0949
1434,14.51,Cold,0.1451
1435,17.07,Cold,0.1707
1436,4.33,Cold,0.0433
1437,19.37,Cold,0.1937
1438,71.81,Hot,0.7181
1439,9.25,Cold,0.0925
1440,9.58,Cold,0.0958
1441,88.12,Hot,0.8812
1442,7.84,Cold,0.0784
1443,22.94,Cold,0.2294
1444,91.44,Hot,0.9144
1445,75.4,Hot,0.754
1446,33.93,Cold,0.3393
1447,18.62,Cold,0.1862
1448,13.28,Cold,0.1328
1449,72.08,Hot,0.7208
1450,71.9,Hot,0.719
1451,60.5,Warm,0.605
1452,35.48,Cold,0.3548
1453,84.38,Hot,0.8438
1454,6.67,Cold,0.0667
1455,33.18,Cold,0.3318
1456,72.55,Hot,0.7255
1457,61.91,Warm,0.6191
1458,79.94,Hot,0.7994
1459,18.49,Cold,0.1849
1460,18.49,Cold,0.1849
1461,58.46,Warm,0.5846
1462,15.76,Cold,0.1576
1463,42.02,Warm,0.4202
1464,20.6,Cold,0.206
1465,42.79,Warm,0.4279
1466,70.25,Hot,0.7025
1467,9.63,Cold,0.0963
1468,18.33,Cold,0.1833
1469,69.5,Warm,0.695
1470,92.02,Hot,0.9202
1471,16.03,Cold,0.1603
1472,10.0,Cold,0.1
1473,13.28,Cold,0.1328
1474,22.49,Cold,0.2249
1475,43.99,Warm,0.4399
1476,78.47,Hot,0.7847
1477,40.65,Warm,0.4065
1478,19.79,Cold,0.1979
1479,11.03,Cold,0.1103
1480,16.23,Cold,0.1623
1481,55.66,Warm,0.5566
1482,33.3,Cold,0.333
1483,66.12,Warm,0.6612
1484,19.79,Cold,0.1979
1485,41.1,Warm,0.411
1486,91.41,Hot,0.9141
1487,35.12,Cold,0.3512
1488,30.35,Cold,0.3035
1489,17.39,Cold,0.1739
1490,84.67,Hot,0.8467
1491,12.59,Cold,0.1259
1492,71.22,Hot,0.7122
1493,78.96,Hot,0.7896
1494,73.24,Hot,0.7324
1495,9.65,Cold,0.0965
1496,15.49,Cold,0.1549
1497,15.95,Cold,0.1595
1498,5.97,Cold,0.0597
1499,7.45,Cold,0.0745
1500,16.15,Cold,0.1615
1501,59.65,Warm,0.5965
1502,20.59,Cold,0.2059
1503,81.21,Hot,0.8121
1504,53.34,Warm,0.5334
1505,17.39,Cold,0.1739
1506,8.11,Cold,0.0811
1507,35.0,Cold,0.35
1508,56.79,Warm,0.5679
1509,18.28,Cold,0.1828
1510,72.12,Hot,0.7212
1511,79.75,Hot,0.7975
1512,39.35,Cold,0.3935
1513,72.82,Hot,0.7282
1514,16.65,Cold,0.1665
1515,24.9,Cold,0.249
1516,32.48,Cold,0.3248
1517,71.27,Hot,0.7127
1518,57.61,Warm,0.5761
1519,93.11,Hot,0.9311
1520,22.36,Cold,0.2236
1521,16.17,Cold,0.1617
1522,16.12,Cold,0.1612
1523,17.7,Cold,0.177
1524,76.61,Hot,0.7661
1525,17.59,Cold,0.1759
1526,36.32,Cold,0.3632
1527,14.76,Cold,0.1476
1528,23.88,Cold,0.2388
1529,72.18,Hot,0.7218
1530,7.27,Cold,0.0727
1531,6.77,Cold,0.0677
1532,3.01,Cold,0.0301
1533,74.97,Hot,0.7497
1534,86.94,Hot,0.8694
1535,86.31,Hot,0.8631
1536,84.89,Hot,0.8489
1537,17.25,Cold,0.1725
1538,49.33,Warm,0.4933
1539,6.28,Cold,0.0628
1540,46.52,Warm,0.4652
1541,18.56,Cold,0.1856
1542,74.85,Hot,0.7485
1543,15.62,Cold,0.1562
1544,57.0,Warm,0.57
1545,16.3,Cold,0.163
1546,16.15,Cold,0.1615
1547,79.3,Hot,0.793
1548,69.45,Warm,0.6945
1549,18.49,Cold,0.1849
1550,78.31,Hot,0.7831
1551,42.32,Warm,0.4232
1552,72.28,Hot,0.7228
1553,58.9,Warm,0.589
1554,3.95,Cold,0.0395
1555,86.35,Hot,0.8635
1556,13.2,Cold,0.132
1557,18.11,Cold,0.1811
1558,21.34,Cold,0.2134
1559,42.02,Warm,0.4202
1560,18.11,Cold,0.1811
1561,42.23,Warm,0.4223
1562,5.78,Cold,0.0578
1563,14.0,Cold,0.14
1564,42.34,Warm,0.4234
1565,34.67,Cold,0.3467
1566,13.9,Cold,0.139
1567,74.68,Hot,0.7468
1568,89.52,Hot,0.8952
1569,17.76,Cold,0.1776
1570,36.3,Cold,0.363
1571,22.3,Cold,0.223
1572,13.98,Cold,0.1398
1573,93.66,Hot,0.9366
1574,68.66,Warm,0.6866
1575,76.26,Hot,0.7626
1576,17.38,Cold,0.1738
1577,24.26,Cold,0.2426
1578,86.23,Hot,0.8623
1579,5.78,Cold,0.0578
1580,79.14,Hot,0.7914
1581,9.49,Cold,0.0949
1582,17.24,Cold,0.1724
1583,25.04,Cold,0.2504
1584,9.31,Cold,0.0931
1585,3.01,Cold,0.0301
1586,6.6,Cold,0.066
1587,73.95,Hot,0.7395
1588,69.86,Warm,0.6986
1589,86.35,Hot,0.8635
1590,80.73,Hot,0.8073
1591,17.76,Cold,0.1776
1592,7.59,Cold,0.0759
1593,19.07,Cold,0.1907
1594,72.82,Hot,0.7282
1595,16.79,Cold,0.1679
1596,36.32,Cold,0.3632
1597,80.64,Hot,0.8064
1598,20.7,Cold,0.207
1599,72.5,Hot,0.725
1600,3.01,Cold,0.0301
1601,12.25,Cold,0.1225
1602,33.8,Cold,0.338
1603,7.2,Cold,0.072
1604,60.3,Warm,0.603
1605,51.32,Warm,0.5132
1606,74.27,Hot,0.7427
1607,27.4,Cold,0.274
1608,14.42,Cold,0.1442
1609,7.03,Cold,0.0703
1610,22.03,Cold,0.2203
1611,20.02,Cold,0.2002
1612,86.65,Hot,0.8665
1613,72.16,Hot,0.7216
1614,33.87,Cold,0.3387
1615,98.62,Hot,0.9862
1616,22.51,Cold,0.2251
1617,14.99,Cold,0.1499
1618,69.86,Warm,0.6986
1619,72.77,Hot,0.7277
1620,13.98,Cold,0.1398
1621,85.57,Hot,0.8557
1622,91.34,Hot,0.9134
1623,48.44,Warm,0.4844
1624,16.45,Cold,0.1645
1625,60.24,Warm,0.6024
1626,22.63,Cold,0.2263
1627,70.09,Hot,0.7009
1628,14.24,Cold,0.1424
1629,77.26,Hot,0.7726
1630,69.44,Warm,0.6944
1631,41.95,Warm,0.4195
1632,54.19,Warm,0.5419
1633,9.37,Cold,0.0937
1634,42.38,Warm,0.4238
1635,13.45,Cold,0.1345
1636,3.02,Cold,0.0302
1637,41.08,Warm,0.4108
1638,17.14,Cold,0.1714
1639,62.13,Warm,0.6213
1640,15.09,Cold,0.1509
1641,26.13,Cold,0.2613
1642,3.12,Cold,0.0312
1643,17.03,Cold,0.1703
1644,90.33,Hot,0.9033
1645,16.12,Cold,0.1612
1646,80.26,Hot,0.8026
1647,74.12,Hot,0.7412
1648,72.26,Hot,0.7226
1649,74.68,Hot,0.7468
1650,99.37,Hot,0.9937
1651,87.17,Hot,0.8717
1652,16.41,Cold,0.1641
1653,18.11,Cold,0.1811
1654,6.28,Cold,0.0628
1655,50.79,Warm,0.5079
1656,34.41,Cold,0.3441
1657,80.38,Hot,0.8038
1658,90.25,Hot,0.9025
1659,37.22,Cold,0.3722
1660,68.17,Warm,0.6817
1661,13.41,Cold,0.1341
1662,64.24,Warm,0.6424
1663,98.6,Hot,0.986
1664,19.27,Cold,0.1927
1665,13.5,Cold,0.135
1666,6.18,Cold,0.0618
1667,39.82,Cold,0.3982
1668,83.27,Hot,0.8327
1669,34.93,Cold,0.3493
1670,56.12,Warm,0.5612
1671,68.68,Warm,0.6868
1672,29.06,Cold,0.2906
1673,27.15,Cold,0.2715
1674,18.62,Cold,0.1862
1675,35.82,Cold,0.3582
1676,66.17,Warm,0.6617
1677,68.84,Warm,0.6884
1678,31.43,Cold,0.3143
1679,84.67,Hot,0.8467
1680,48.78,Warm,0.4878
1681,14.85,Cold,0.1485
1682,94.38,Hot,0.9438
1683,65.85,Warm,0.6585
1684,75.36,Hot,0.7536
1685,50.81,Warm,0.5081
1686,59.7,Warm,0.597
1687,40.36,Warm,0.4036
1688,6.77,Cold,0.0677
1689,16.51,Cold,0.1651
1690,22.13,Cold,0.2213
1691,82.76,Hot,0.8276
1692,7.84,Cold,0.0784
1693,61.46,Warm,0.6146
1694,3.6,Cold,0.036
1695,22.49,Cold,0.2249
1696,78.81,Hot,0.7881
1697,16.18,Cold,0.1618
1698,71.1,Hot,0.711
1699,83.28,Hot,0.8328
1700,8.91,Cold,0.0891
1701,18.1,Cold,0.181
1702,35.6,Cold,0.356
1703,52.12,Warm,0.5212
1704,14.87,Cold,0.1487
1705,68.74,Warm,0.6874
1706,5.94,Cold,0.0594
1707,35.17,Cold,0.3517
1708,14.42,Cold,0.1442
1709,14.86,Cold,0.1486
1710,70.86,Hot,0.7086
1711,19.38,Cold,0.1938
1712,8.58,Cold,0.0858
1713,58.15,Warm,0.5815
1714,86.87,Hot,0.8687
1715,73.12,Hot,0.7312
1716,59.74,Warm,0.5974
1717,17.76,Cold,0.1776
1718,3.12,Cold,0.0312
1719,75.41,Hot,0.7541
1720,35.82,Cold,0.3582
1721,61.01,Warm,0.6101
1722,49.33,Warm,0.4933
1723,23.27,Cold,0.2327
1724,14.56,Cold,0.1456
1725,26.11,Cold,0.2611
1726,98.44,Hot,0.9844
1727,8.58,Cold,0.0858
1728,6.41,Cold,0.0641
1729,76.26,Hot,0.7626
1730,17.58,Cold,0.1758
1731,42.85,Warm,0.4285
1732,40.05,Warm,0.4005
1733,83.03,Hot,0.8303
1734,34.17,Cold,0.3417
1735,91.01,Hot,0.9101
1736,92.95,Hot,0.9295
1737,86.65,Hot,0.8665
1738,85.87,Hot,0.8587
1739,87.08,Hot,0.8708
1740,86.31,Hot,0.8631
1741,84.12,Hot,0.8412
1742,5.9,Cold,0.059
1743,35.49,Cold,0.3549
1744,84.22,Hot,0.8422
1745,4.72,Cold,0.0472
1746,54.91,Warm,0.5491
1747,67.4,Warm,0.674
1748,10.84,Cold,0.1084
1749,73.07,Hot,0.7307
1750,70.38,Hot,0.7038
1751,10.43,Cold,0.1043
1752,86.35,Hot,0.8635
1753,5.78,Cold,0.0578
1754,71.6,Hot,0.716
1755,16.71,Cold,0.1671
1756,51.32,Warm,0.5132
1757,89.7,Hot,0.897
1758,86.59,Hot,0.8659
1759,77.75,Hot,0.7775
1760,69.21,Warm,0.6921
1761,90.25,Hot,0.9025
1762,93.8,Hot,0.938
1763,54.78,Warm,0.5478
1764,16.09,Cold,0.1609
1765,75.22,Hot,0.7522
1766,17.14,Cold,0.1714
1767,87.98,Hot,0.8798
1768,20.3,Cold,0.203
1769,23.88,Cold,0.2388
1770,84.38,Hot,0.8438
1771,82.8,Hot,0.828
1772,15.95,Cold,0.1595
1773,20.77,Cold,0.2077
1774,14.44,Cold,0.1444
1775,39.54,Cold,0.3954
1776,61.8,Warm,0.618
1777,84.12,Hot,0.8412
1778,33.36,Cold,0.3336
1779,71.55,Hot,0.7155
1780,38.2,Cold,0.382
1781,5.9,Cold,0.059
1782,7.9,Cold,0.079
1783,66.43,Warm,0.6643
1784,62.63,Warm,0.6263
1785,82.2,Hot,0.822
1786,14.51,Cold,0.1451
1787,14.51,Cold,0.1451
1788,31.58,Cold,0.3158
1789,4.13,Cold,0.0413
1790,62.33,Warm,0.6233
1791,82.21,Hot,0.8221
1792,20.82,Cold,0.2082
1793,47.93,Warm,0.4793
1794,13.96,Cold,0.1396
1795,98.98,Hot,0.9898
1796,18.24,Cold,0.1824
1797,96.51,Hot,0.9651
1798,61.88,Warm,0.6188
1799,72.74,Hot,0.7274
1800,7.54,Cold,0.0754
1801,29.9,Cold,0.299
1802,30.62,Cold,0.3062
1803,66.57,Warm,0.6657
1804,35.08,Cold,0.3508
1805,92.28,Hot,0.9228
1806,6.69,Cold,0.0669
1807,82.74,Hot,0.8274
1808,31.58,Cold,0.3158
1809,9.25,Cold,0.0925
1810,85.25,Hot,0.8525
1811,70.38,Hot,0.7038
1812,18.24,Cold,0.1824
1813,30.68,Cold,0.3068
1814,36.25,Cold,0.3625
1815,14.83,Cold,0.1483
1816,11.18,Cold,0.1118
1817,36.25,Cold,0.3625
